Rand,inj_diff ,Date Time,Avg_PLT_CO2VentRate_TPH,Avg_CCS1_WHCO2InjPs_psi,Avg_CCS1_WHCO2InjTp_F,Avg_CCS1_ANPs_psi,Avg_CCS1_DH6325Ps_psi,Avg_CCS1_DH6325Tp_F,Avg_VW1_WBTbgPs_psi,Avg_VW1_WBTbgTp_F,Avg_VW1_ANPs_psi,Avg_VW1_Z11D4917Ps_psi,Avg_VW1_Z11D4917Tp_F,Avg_VW1_Z10D5001Ps_psi,Avg_VW1_Z10D5001Tp_F,Avg_VW1_Z09D5653Ps_psi,Avg_VW1_Z09D5653Tp_F,Avg_VW1_Z08D5840Ps_psi,Avg_VW1_Z08D5840Tp_F,Avg_VW1_Z07D6416Ps_psi,Avg_VW1_Z07D6416Tp_F,Avg_VW1_Z06D6632Ps_psi,Avg_VW1_Z06D6632Tp_F,Avg_VW1_Z04D6837Ps_psi,Avg_VW1_Z04D6837Tp_F,Avg_VW1_Z03D6945Ps_psi,Avg_VW1_Z03D6945Tp_F,Avg_VW1_Z02D6982Ps_psi,Avg_VW1_Z02D6982Tp_F,Avg_VW1_Z01D7061Ps_psi,Avg_VW1_Z01D7061Tp_F,Avg_VW1_Z0910D5482Ps_psi,Avg_VW1_Z0910D5482Tp_F
13088,0.110069402,11/22/24 4:00,0,1105.445866,71.96500371,591.4784531,3320.663664,107.0168549,2232.331462,104.0563714,5.289917143,2073.506816,105.2508377,2107.38348,101.822081,2534.110876,113.2960002,2623.966549,116.9833333,2904.422156,116.9050776,3013.590391,119.9590442,3111.267204,119.7353172,3226.319375,120.4176865,3244.126398,121.2193575,3230.166178,122.5552775,2399.203387,112.2512807
22365,-0.356147918,11/22/24 5:00,0,1096.617687,72.49747749,570.6841846,3318.985713,106.6936047,2232.33335,104.0534628,5.231462058,2073.51742,105.2523246,2107.384997,101.8095483,2534.086243,113.29084,2623.950704,117,2904.424218,116.9125927,3013.57147,119.9569194,3111.254573,119.7432159,3227.475139,120.4253602,3245.334563,121.2280959,3230.438356,122.5647593,2399.141585,112.2551295
64032,-0.153921357,11/22/24 6:00,0,1096.485427,73.21451607,565.3223602,3322.9288,106.4025669,2232.451115,104.0904514,5.173645115,2073.483464,105.2705479,2107.368168,101.8006165,2534.037118,113.2732318,2623.951953,117,2904.449237,116.9071025,3013.546488,119.9540792,3111.326764,119.7353172,3228.699017,120.4256512,3246.502317,121.2271573,3230.686926,122.5552775,2399.120473,112.2541758
83725,-0.43541654,11/22/24 7:00,0,1105.19265,76.60745907,620.0870814,3315.569511,106.4114007,2232.515324,104.0989714,5.162658715,2073.451095,105.292418,2107.32747,101.7998215,2534.019836,113.2863408,2624.011861,116.9833333,2904.454128,116.9091272,3013.573334,119.9569441,3111.366945,119.737957,3229.784178,120.4273911,3247.668833,121.2233772,3230.968732,122.5736369,2399.065426,112.258511
13827,0.639583079,11/22/24 8:00,0,1114.396364,76.46683572,686.3258174,3315.742818,106.941482,2232.518034,104.0893864,5.120544151,2073.428835,105.3012381,2107.327089,101.8037964,2534.020599,113.2828911,2623.984692,116.9916667,2904.452372,116.9044025,3013.611251,119.9632743,3111.368201,119.7326476,3230.823012,120.4290709,3248.77557,121.2215321,3231.24846,122.5855764,2398.982796,112.2772916
27292,0.352430089,11/22/24 9:00,0,1115.969922,75.53849125,702.2837123,3318.165875,107.4673594,2232.623039,104.0861914,5.060119279,2073.464227,105.286943,2107.329547,101.8125412,2533.974054,113.2670222,2624.016109,117,2904.445695,116.9077773,3013.54932,119.9519342,3111.404191,119.7392769,3231.781319,120.4239707,3249.794204,121.219942,3231.482343,122.5758715,2398.90603,112.2725065
77239,0.00451444,11/22/24 10:00,0,1113.909782,75.53299834,699.7486186,3317.304738,107.7105602,2232.616772,104.1085564,5.206603829,2073.417405,105.3023331,2107.341012,101.8109512,2533.963428,113.2697969,2623.979185,117,2904.459477,116.9098022,3013.609389,119.9547991,3111.37912,119.7379271,3232.792716,120.4353108,3250.828973,121.2361614,3231.670471,122.5813014,2398.858864,112.2770667
76156,0.144444529,11/22/24 11:00,0,1111.690773,74.45304095,691.645811,3319.333234,107.7927867,2232.568717,104.0968414,4.797363599,2073.445526,105.2978631,2107.326851,101.8014114,2533.975651,113.269782,2623.994006,116.9916667,2904.467023,116.9071023,3013.641172,119.9633341,3111.429641,119.7392619,3233.745219,120.4184354,3251.776794,121.2198282,3231.87816,122.5618019,2398.827323,112.2881672
41443,-1.46215299,11/22/24 12:00,0,1131.269511,74.2541894,681.5467143,3313.474451,107.6950533,2232.586841,104.1064264,4.683837632,2073.442499,105.290333,2107.303731,101.8077713,2533.984294,113.2711619,2623.969678,116.9916667,2904.498336,116.9030526,3013.596861,119.9632893,3111.464506,119.7366371,3234.712913,120.4160052,3252.78468,121.2181479,3232.125777,122.5610219,2398.782918,112.3036026
68831,0.994444148,11/22/24 13:00,0,1113.716199,72.92997052,672.0524918,3310.434684,107.9407917,2232.626912,104.1021664,4.716796517,2073.476864,105.2738329,2107.301973,101.8268509,2534.013749,113.2787514,2623.977804,117,2904.51015,116.8976526,3013.641661,119.9689742,3111.473376,119.7412418,3235.688576,120.4369003,3253.812321,121.2322933,3232.389577,122.559462,2398.735722,112.3226531
